text,label,,,
ADRA has supplied emergency food to 500 families with more to come following floods in Philippines which hit half of capital city Manilla.,0,,,
"@five15design not to mention the flood of GM food for 'pure NZ' dairy cows, ...or palm kernel",1,,,
REMINDER: Golden Inn Restaurant – Flood Re-Opening – 10% Off Food & Drinks (Until Sept 30) http://goo.gl/fb/8Vm3c ,0,,,
Have you read your pets food and treat labels today?  Are you ready to change their food/ treats?,1,,,
"Woohoo 老字號 RT @SINGTAOTeddy Golden Inn, the 2nd oldest restaurant in #yyc Chinatown, re-open from flood. 10% off food and drink this month.",0,,,
Err:509,1,,,
"""@SINGTAOTeddy: Golden Inn, the 2nd oldest restaurant in #yyc Chinatown, re-open from flood. 10% off food and drink this month."" Gtrat news",0,,,
"Golden Inn, the 2nd oldest restaurant in #yyc Chinatown, re-open from flood. 10% off food and drink this month.",0,,,
"@JoburgCity Explored more of Maputo on foot today with the encyclopaedic Jane Flood, ate more delicious food and drank more Laurentina!",0,,,
"Took a quick break to fuel up with food and fuel my phone with battery life. Back at it, a flood of photos coming your way. #nyfw",0,,,
"Flood victims displaced from their homes,  complained about (poor) shelter, as well as a lack of clean water, food n medicines in SINDH",0,,,
"Python parade @AndrewLucas103 'Apart from food, energy, chemicals, pest control, flood prevention...",1,,,
"@ThatKid_Chris your floods clean right.. I'll pick that food up, put it on my plate and keep it stepping",0,,,
So want Sony QX portable lens - will double food pictures flood ,41522.2972222222,0,,
"while at hospital, house gets broken into and all my shit stolen. Then they destroy the walls and flood the basement, and ruin all my food",1,,,
"Anyone who has bee been to my house knows I have enough food for a flood, hurricane, a black out and zombie apocalypse at the same time",1,,,
Me & @oksusugoddess went to the supermarket ytd & piled our trolley high with food. I joked we were stocking for war.. More like for flood!,1,,,
"Tweet about food, spambots flood my mentions with links to loose pounds. SIAL CRUEL INTERNET",1,,,
"At least 73,000 people displaced by #floods in #Myanmar. Food security a major concern. @CWS_Global responding http://ow.ly/oyDCL ",1,,,
Err:509,0,,,
"I once survived an awful flood / that happened in the neighbourhood. / Oh, I was cold, and lacking food. / >>>",1,,,
"A busy month. I've 2 Visual Impact Studies for proposed Wind Turbines for @ArupGroup, 2 @BoothsCountry Food Stores, Flood Defences for…",1,,,
"Want to do some good this weekend? Contact Mona @RiverCityYouth - they are needing food, clothes, goods for flood victims.",1,,,
Sounds to me like a call to flood the FDA with what's really important for real food! MT @groovygreenlivi http://bit.ly/1iMMiHt ,1,,,
#YolandaPH is strong guys. Be ready sa mga pwedeng mangyari like floods and blackouts and especially food shortage. #PrayForThePhilippines ,1,,,
"A flood of gossip, anecdotes, lectures, explanations, impressions, and taste better. #swag #food #sukishi #with #love",1,,,
"Looking on the tv guide, see a program called 'Iceland Floods', thinking it will be interesting, However I misread, as it said Iceland foods",1,,,
"A flood of Chicago food memories from my early 20s today. Yoshi's. Jackie's. L'Escargot. And eventually, yes, Trotter's. Thanks, chef.",0,,,
"@Durrtydoesit I eat Halal, Kosher and grains, you flood yourself with shitty ass fast food, not me. You downed $20 worth of McD's lmao.",1,,,
And she saying that tha whole jamaica gonna flood and that we need to pack a lot of food supplies,1,,,
Me and @daijja_ and @Kayy_Jeffries gotta work since they wanna flood my TL with this gorgeous ass food,1,,,
Droughts & Floods are bad news for trying to grow food: Climate change poses risk to food supplies http://econews.com.au/news-to-sustain-our-world/climate-change-poses-risk-to-food-supplies/ … via @Econews,1,,,
"Maybe some flood idek. Food solves everything, really..",0,,,
lol foh bro hat's uppppppp RT @o_OhYouTite: “@Chelseaaaah_: i want some bhinese food” --fucc outta here w/that flood shit!,1,,,
Lots of great people here helping Front Range Farmers after the flood!  Thanks Grow Local and Slow Food Denver... http://fb.me/27J0Jk4db ,0,,,
"#ClimateChange and #Africa: increase ind droughts, floods, extreme events->stressors on water resource, food secrity, human health...",1,,,
It's 'bout time for the Honor Thy Farmer Flood Relief Benefit. Hope those going are ready for some awesome food! @SlowFoodUSA @BlackbellyCO,1,,,
"Help out Boulder flood victims and enjoy some tasty food at tonight's benefit, hosted by @SlowFoodDenver http://ow.ly/qtP54  #COFlood",0,,,
Slow Food Denver lends a hand to flood relief tonight: http://ow.ly/qtIyy ,0,,,
"super annoyed Red Cross won't take my clothes/food/hygiene donation for flood victims, wants me to ""have a garage sale"" & donate the $",1,,,
"Want to help #Austin flood victims?  They need tools, food, and new mattresses!  Drop off at Oak Meadows Baptist Church @ I-35 & Wm. Cannon.",1,,,
"Uni had a flood an now there's no hot water, heating or hot food yet were still here surely we should be able to go home it's freezing!",1,,,
"Another flood at uni means no hot food or drink today and no heating, brilliant! Soooo can't wait to move into our new building next year!",1,,,
"Eight cars left a party office with medicines, food for flood victims,thousands miles away.  Less than hour they were at office. Gimmick ?",1,,,
Weld Food Bank kept busy since the flood | http://GreeleyTribune.com : http://www.greeleytribune.com/news/local/8631799-113/bank-weld-volunteer-flood …,1,,,
"Food and cleanup items are being distributed in flood-affected areas. If you need them or other help, ask on-site officials.",1,,,
Immediate #flood relief needs: food and cleaning supplies. Drop off at E Wm Cannon and S. Pleasant Valley or Quicksilver and SPV.,1,,,
CUTTING Food Assistance will impact RED states much more...Groceries do less bus..Crime will go up.. Poor will flood into Emergency Rms sick,0,,,
Always good when you find out a house mate is eating your food and then manage to flood the kitchen cos they can't turn a tap off #annoyed,0,,,
Syrian refugees flood neighboring states amid carnage — but few settling in US - World News http://ow.ly/qqs0w  they might need food...,0,,,
Weld Food Bank kept busy since the flood: The proof of just how busy it’s been at the Weld Food Bank since the... http://dlvr.it/4FW7wh ,0,,,
“@wingingitmotown: oh the flood-ruined signed MacInnis jersey :(” Food-ruined signed MacInnis still shoots harder than most Euros -Grapes,1,,,
"Q: Post-flood, has the crop-destruction led to permanent insufficiency of food? A: Yes. They never were self-sufficient, now worse. #ruxcon",1,,,
me and abby are having a lazy day watching films with food on monday bc floods and hurricane,0,,,
Andhra pradesh is suffering a lot because of heavy rains.many people are effected by floods.they became shelterless.no food also.so sad.,1,,,
Err:509,1,,,
"Grew up in places that flood, holidays on station out from windora. Always had at least 2month food @willb_photos @annbritton @ssmccarter",1,,,
Thanks to everyone who donated food to support the Colorado flood victims in our Food Drive!... http://fb.me/1WdoaHuBJ ,0,,,
"#Odisha:95800 flood victims in Ganjam dist including Berhampur city, given dry and cooked food by administration.",0,,,
"ODISHA: People in south,east and north odisha badly affected by torrential rain which cause heavy flood.They need relief--food and shelter.",1,,,
Phailin goes away causing loss to property only but these unprecedented rains n floods are gonna badly hike up the food crisis even more!!!,1,,,
RT @SHAHSUDH OCA Never intend to drop food pakets at flood/cyclone affected areas but has all the money to dry the pitch by engaging chopper,1,,,
OCA Never intend to drop food pakets at flood/cyclone affected areas but has all the money to dry the pitch by engaging choppers @otvnews,1,,,
“@Kate_Collings: Don't forget about the Flood meeting tomorrow morning at 7:45 in the auditorium! Free food& a whole lot of Jesus!”,0,,,
Don't forget about the Flood meeting tomorrow morning at 7:45 in the auditorium! Free food& a whole lot of Jesus!,0,,,
"So close to Friday, but not quite... Still, enjoy the day: food trucks for lunch, free matinee & ""Floods & Photo Ops"" http://bit.ly/1cYZzvC ",0,,,
"How long can we blame the rains..sometimes for draught, sometimes for flood & sometimes for food inflation...",1,,,
@runners_kitchen wheat corn dairy soy are subsidised industries & able 2 flood the food manufacturing industry w cheap (crappy) ingredients,0,,,
His mom slapped me and said you're doing it wrong and proceeded to flood his food with rat poison,1,,,
"Flood, drought, storm surge, food insecurity, and more. What #CostOfCarbon are you exposed to? Find out here: http://bit.ly/1bFKBcH .",0,,,
"Yes there is a flood in francie 260-261. We lost a lot of good carpet, bath mats, and toilet paper. Feel free to bring us food for our loss.",1,,,
"Food riots, fires, flood, extreme drought. What more do we need to act? #CostofCarbon ( #costofcarbon live at http://ustre.am/Bp1y )",1,,,
"Virginia Court Elem. cares about CO families, and their food drive for flood victims was a nice touch. http://ow.ly/q3PkA  #coloflood",0,,,
"How about cutting back on the BILLIONS in foreign aid to like Pakistan, 1.6B, Egypt, 1.2B. That buys a lot of food, flood assistance etc.",0,,,
"Remember to go to the Homecoming bonfire tonight at 8:30 by the soccer field on Busch! Free food, an appearance by Coach Flood, and more!",0,,,
"""Honor Thy Farmer"" at Slow Food Boulder's Flood Relief Farm Dinner, Nov. 11 http://fb.me/2XSDJP73M ",0,,,
"""@trillest_nigmix: @_TrapGoddesss lmao well food is flood lets be honest is wammie really gone care lol""",1,,,
"There will be a flood of relatives at my Inlaws place for the next 4 days. Laughs, food, shouts, joy. :)  oh yeah and no sleep...",0,,,
@i_on_food_drink Columbia River Flood basalts. They're everywhere down there.,1,,,
"“@i_on_food_drink: Re-learning about the great Missoula floods. Nerdy Sunday.” - yep me too, crazy...",1,,,
"Due to the floods, food banks in Alberta have very limited supplies for Christmas. To help, our campuses... http://fb.me/Wx2RoIKi ",1,,,
YourMorrison’s was left a little soggy…. No shit there was a flood & you were like a foot or two under water with food drifting away,1,,,
"Probably wasn't the best idea to come food shopping tonight, surprised my little car is still going after the floods we just went through",1,,,
"Finally, the party's now over. Hahaha!Thank you for the good laughs and the food floods. Happy holidays team!!! W/ Daddy Joey, TM Mhai",0,,,
"I did it when others just talk nonsense. Feel the cold of flood water at 3 a.m, less sleep, no food, stay in darkness. Kids away from you..",1,,,
@_FatPower_ pui you go there flood with your pigugeon family and steal food right .,1,,,
"After the floods, it happ bcoz of heavy rains.""@CNBCTV18Markets: Montek Singh Says High Inflation Is Largely Driven By Inflated Food Prices""",1,,,
"@KelseyyyHicks ""@WhatTheFFacts It is illegal to share food with the homeless in Orlando, Florida."" don't forget this",0,,,
Food floods! Thanks for these incredibly delicious foods =D http://instagram.com/p/iA_HFpn7_l/ ,0,,,
Err:509,1,,,
Flood Appeal evening Sussex Barn 4th January licensed bar and food available.,0,,,
"... then how she'd no concept of what it was like with food banks and scrimping. Then suddenly ""the flood of Romanians"" will make it worse.",1,,,
Flood sounds good but what food places are open?,1,,,
"@rubyhamad With floods, snow, poverty and starvation I don't think the people of Gaza care how their food is killed do you?",1,,,
"come to think about it... Kenya has put no measures to combat disasters such as drought,floods,food shortage & other natural calamities,.",1,,,
Err:509,1,,,
Err:509,0,,,
"Gaza floods - remember due to Israel's bombs and blockades, their sewage system is broken, no electricity, shortage of fuel, food & water.",1,,,
"@AGWobserver +2C would be a huge problem, even if slowly. Many metres of sea level rise, droughts/floods, food supply disruption, etc.",1,,,
"@Cattituude Just got a ""coastal flood"" warning...but we're here with food, music....just as long as we have power & heat! Good luck!",1,,,
I feel like shit. I need coffee. It's freezing. Apparently it could flood? Where's the snow. Okay I'm done. Food?,1,,,
Selling drinks food out marshlanding tonight come thur we tryna flood shit !!!! 937,1,,,
UPNM raised fund & sending volunteers to distribute food packs to all flood victims & to clean up their affected houses. Kudos! ☆★,0,,,
"=@Orange_Fame im nt that nice..its just..i nvr involved in charity..hehe
                                                                                                                                                                                                                                                                n d flood damage is jangnan aniya..haha..no free food..just bread",0,,,
Fun but tiring day.. distributed food. cleaned house.. felt pity for those who are badly affected by the flood..#newexperience #volunteer,0,,,
Great work! RT @rubykhong #Kechara sending more disaster relief food 2 #flood victims #Kuantan #malaysia #compassion https://twitter.com/rubykhong/status/410857955534569473/photo/1pic.twitter.com/2Xkpdw2lEz ,0,,,
Protein rich foods won't flood your blood with glucose.  Moderate intake of eggs has no negative impact on cholesterol. #burnfat,1,,,
"So, food didn't spoil, all animals were vegetarian, & people lived to 600 prior to a cataclysmic flood for which there's no evidence? Sure.",1,,,
"Growing food, curbing floods and cleaning the air - the green spaces of tomorrow will be much more than just a... http://fb.me/2ojeenxom ",1,,,
"Bangladesh MNH SS, Unusal, Odd, Flood Victim, Natural Disaster, Food, Goat, Catt http://bit.ly/Id1WAU  http://bit.ly/1h1NiMg ",1,,,
"Since you flooded me with food, I'm gonna flood your TL with sarang. Haha! Ponytail and long sleeves : couple mission LMAO @kwonaui88",1,,,
2PM SUN NOV24 at 7309 Walkingstick Ln deliver hot #FOOD to hungry flood survivors. RSVP: 512-537-1080 ATXFlood@gmail.com #atxfloods #ACGR,1,,,
Err:509,1,,,
"Heavy rains, thunder storms and flash floods have kept me off the roads today. I consoled myself with lashings of delicious Thai food  Mmmm.",1,,,
These cars flood Gobs town like the cattle in Opuwo Ok Food Supermarket.,1,,,
"MT @loriandwhillie: Great look by BBC at parks of the future! Parks 2050: Growing food, curbing floods, cleaning air http://www.bbc.com/future/story/20131115-green-wonder-your-park-in-2050/all …",1,,,
Thanks to organizers of @ADLatornell - great symposium with much food for thought! Key msg- improve soil health to resist drought and flood,0,,,
What's the best food spot in Bedford #starving #asktwitter,1,,,
gave my spiffy high ad pitch to the ginger sushi people as they made my food #shamlessmarketing,1,,,
"After a flood make sure to throw all food away - fresh and tinned, which will have been contaminated by flood waters",1,,,
Err:509,0,,,
Err:509,0,,,
"People losing their lives, homes & livelihoods in floods & typhoons
..going hungry because crops have failed & food prices have sky rocketed",1,,,
Err:509,1,,,
Expect your food prices to go up.  Cheap gravity flow: flood and furrow #irrigation are dying inefficient systems.,1,,,
"Emails from my mom are so good. ""There's a flood warning here so I had to stock up on food. I went to the mall and got cinnabons.""",0,,,
"@KingYusufYusuff thats why I asked, I think it's not suitable for us especially when we have lots of food insecurities, drought, floods etc",1,,,
"Just out: #EasternAfrica Humanitarian Bulletin (1 Oct -15 Nov) - food sec, floods, displacement, #polio & much more 
http://bit.ly/I6m8nZ ",1,,,
Families in need find empty shelves at area food pantries: A flood of funding cuts - including the Su... http://q.gs/55GGC  #detroit,1,,,
"Food & water supply disruptions due to floods, droughts, heat & diseases stress global food system = security threat http://tinyurl.com/po8pq7d ",1,,,
"A2. We support our own after-school program, so everyone supports that cause. Also the local food bank for flood victims #cmgrchat",0,,,
Flood just bribed us with food...such a smart guy,0,,,
"@ShamaJunejo You fell it Rain Storm, But here super Flood 2010 in Sindh Pak, no food for eat our pepole's in Pakistan.",1,,,
"low-impact green solutions for runoff now & in future_#water Parks 2050: Growing food, curbing floods, cleaning air http://www.bbc.com/future/story/20131115-green-wonder-your-park-in-2050?ocid=global_future_rss …",1,,,
England.-5 minutes of hard rain. =. No food. No flights in or out.  No trains. Floods.  Schools close. Petrol shortage.,1,,,
Err:509,1,,,
@bowtothetran @truccieeboo aight well some other time we will hang out & eat food & not flood everybody's timelines w tweets abt #feelings,1,,,
"Growing food, curbing floods & cleaning the air - green spaces of tomorrow will be more than just a pretty place http://buff.ly/1gY5vcH ",0,,,
Thanks to all the food trucks at Off The Grid giving 10% of their sales to flood relief! http://instagram.com/p/g6zgptrSfu/ ,0,,,
Food banks beginning to see flood of hungry Tucsonans they expected http://bit.ly/17Kcz4d ,0,,,
I hate when I put food in the microwave & it starts making explosive noises so I check and it's cold like why you gotta play me like that.,1,,,
Blocker is an ugly ass building thanks to that flood && it smells like dog food. Lawd.,1,,,
After the terrible Cape Town floods many people and animals have been left destitute and without dry dog food. We... http://fb.me/2H5Wiaknx ,1,,,
its 2300 and my tl will flood with food porn. thanks nasuha thanks adlin ♡ OMG LOVE YOU GUYS SO MUCH HEH,0,,,
"Perfect storm brewing with a flood of over-priced condos about to hit downtown Cincy, no real public trans, limited food options #badnews",1,,,
@DrHugoZHakenbus 5/1 while cheaper poisoned food floods into the country! Bizarre way4 Gov> treat the people>supposed to serve>my opinion ,1,,,
"Impacts of #AGW: sea level^, wildfires, heat waves, health, extreme weather, floods, food, biodiversity, coral reefs. http://www.ucsusa.org/global_warming/science_and_impacts/impacts/ …",1,,,
Survival Flood Kit 30 Day Food Storage Emergency 300 Total Servings Freeze Dried $112.50 http://bit.ly/17jjaWc  #goods #hiking,1,,,
"Growing food, curbing floods, cleaning air: Green spaces of tomorrow will be more than just a pretty place http://ow.ly/qV6SW ",1,,,
"Two more of my travel books available as an Amazon Kindle ebook:
""Australia: Supernova and Flood""
""Taiwan: High-Tech and Chinese Food""",0,,,
"Turning junk food marketing techniques on their heads. Spot on! Good job, Dr. Flood. http://tinyurl.com/qgchbzw  #proudmarketing #ForTheKids",0,,,
"Vietnam floods kill at least 34, leave 100,000 displaced. #Pray shelter, food and future. http://ow.ly/27EnT6 ",1,,,
Err:509,0,,,
"Made it through the flu, the floods, storms, Xmas food shopping and poorly children - all in the last 5 days! Certainly deserve a drink now!",0,,,
"Ok,so havn't made it to my folks as planned, due to floods,now eating all the food meant 4 family members...hmm party snacks.",1,,,
"There's disaster all over the world. Floods, people in poverty, citizens in need of food and drink. Why couldn't life be good all the time?",1,,,
"Thoughts very much with all those now with no power, flooded and/or damaged homes, lost Christmas food and ruined plans #Storm #flood",1,,,
"@firobson wow, that's serious floods. Glad to hear the house is dry. Foods parcels being airlifted soon?",0,,,
Feel sorry for the amount of people who won't get their food shopping done on time for tomorrow due to floods and power cuts,1,,,
"@wagamama_uk Braved floods to enjoy lunch at Wagamama Dorchester. Great food and friendly staff...well worth the sail, I mean drive there!",0,,,
"Budget Christmas this year can't moan, thankful we have food, warmth, family power, flood free & my @MYSADCAT calendar @cox_tom #happyxmas",0,,,
Flood gone so now have food for tomorrow. Phew. Passed Santa on a horse nr Talgarth?? Would've thought he'd be better staying airborne! #wet,0,,,
"Thank god the 1001 fast food menus are able to make it through to out letterbox, trees down, no power or floods shall not stop them",0,,,
Woah! Im in love with chocolate and oats!  (yes! Will flood your IG with food selfies!! because its… http://instagram.com/p/iTGMJ9EtNG/ ,0,,,
"@katie_diva words can't express how much I love and appreciate you, may The Lord almighty flood the Aligwaras him with blessings al d way",0,,,
there was a big flood infront of Starbucks we didn't get any business. pretty much just ate all the food,0,,,
All my routes blocked by floods and/or fallen trees. Not sure how I tell Mum I might not make it home with all the food and presents! :o,1,,,
"Accept my apologies for all the Britain isn't eating, but I think flood twitter and highlight this. Still proud of food banks eh Cameron?",0,,,
In last two months #edp24 #en24 readers have donated 40k to @UNICEF 150k plus to flood victims and tonnes of food to #foodbanks #astounding,1,,,
"Warning: You Could Be Buying a Flood Car - Parenting, Love, Fashion, Health, Food, Home http://www.galtime.com/story/23051176/warning-you-could-be-buying-a-flood-car#.UriU_sp0euA.twitter …",1,,,
I just had to walk through pouring rain and through a water flood just to get food from my neighbor. Now my Tomys are wet fml,1,,,
Sabah floods: Where are food rations? - Free Malaysia Today http://on.757live.tk/18HyUFa  #My,1,,,
There is flood of processed foods on the market. check out for expiry dates before you buy. Product labels shd also have clear address.,0,,,
"Well done @Tesco, my 5 year old is in floods of tears because you messed up our food order and she is worried about Christmas",0,,,
"*Manages to stick a wing out of the food-flood, letting out a faint ""Haaallpp...""",0,,,
@DailyMirror more interested in bringing in immigrants whom will flood the food banks even more #clueless,0,,,
"If you have outside animals please check & make they have dry bedding, clean water & food. Flood waters are not good for them either.",0,,,
I love how there are flood warnings yet people still coming for food. Do they not fuck with Ramen? What noobs.,0,,,
Err:509,1,,,
"@libs_flood yes, but mainly because you're eating solid foods",1,,,
Flash Flood Warning for parts of Arkansas. Be a shame if lots of white trash warsh away as well as the food supply of squirrels. :( #arwx,1,,,
"I love everything about Malaysia. Everything except traffic jams, politicians, floods, heat, humidity, rude people, dirty food...",0,,,
"@alisonbates200 bless lovely,I'm maybe poorly but I have food,xafter floods in my area some people still struggle,so I donate to help them,x",0,,,
Err:509,1,,,
Flood at @Odawa_NFC Help needed! Please drop by 250 City Centre Ave Food hampers ruined :( #Ottawa @YSBES_Ottawa @VolunteerOttawa @APTNNews,1,,,
Galena gifted salvaged moose meat to replace food lost in flood. http://bit.ly/J9GCvF ,1,,,
"More than 1,000 Students will Flood the Streets of Atlanta New Year's Eve to Distribute more than 11,000 Tons of Food http://dld.bz/deyaJ ",0,,,
With the Floods hitting the southwest check out cleaning up and food hygiene - Live Well - NHS Choices - http://www.nhs.uk/livewell/weather/pages/flood-safety.aspx …,0,,,
Westerns had Santa during their childhood but us Arabs we had and still have grandmas who flood us with gifts and food so I guess we win.,0,,,
Anyway. Since it'll be new year's eve here later i'm excited for one thing: food flood part two. Hahaha XD #pig,0,,,
"amongst flood of end-of-yr fundraising emails, @andreahorwath asks us to support local red cross, food banks. #refreshing #onpoli",0,,,
Flood: cleaning up and food hygiene - Some useful clean up information provided by the UK NHS http://fb.me/6DEkhn2xA ,0,,,
#ADRA Brazil is distributing 100 tons of dry food to 20.000 people affected by floods an landslides in Southeast Brazil @ADRAIntl @theOFDA,0,,,
Terengganu: Essential supplies worth RM1.2mil ready for second wave of floods: MARANG: Food supply and other e... http://bit.ly/1d2PDin ,0,,,
Fiending on chocolate stars like they're God's artwork in food form #flood #delicious,0,,,
"This includes: strong winds, rain, wet ground , flood, will food be the correct temp, layout, power, will we need a generator, bathrooms,",1,,,
Err:509,1,,,
"Italy's ""Slow Food"" Pioneer: How My Love for Food Ripened Into a Life's Work #slow flood #Italie #Petrini http://zite.to/1hNzDp5 ",0,,,
Woke up because of too hungry and my insta is flood with food. Fuck you people,1,,,
"Don't forget your contribution of canned foods, clothing or other items for the Christmas Day flood victims.",0,,,
""" J4F Theme Launch tonight at Gaiety on Rodney Bay. Walk with a donation of canned foods or clothing or other items for flood victims""",0,,,
Err:509,1,,,
Date w @McMama7 last night. Mexican food. Hobbit 2. Into house to... Help clean up a toilet flood... #parenting never stops.,1,,,
Err:509,1,,,
It's that time of night where I get super hungry and flood my TL with food porn. #sorry ,1,,,
Err:509,0,,,
Err:509,1,,,
Trinidad and Tobago send food and emergency supplies to St Lucia following devastating Christmas Eve floods. http://bit.ly/19PmqKC ,0,,,
Trinidad and Tobago has sent food and emergency supplies to St Lucia following devastating Christmas Eve floods... http://fb.me/1L0mcJdHu ,0,,,
Ima flood y'all timeline about how hungry I am until I get some food lol,1,,,
I hate when folks flood my IG TL...I do not want to see 20 pix of you && to ugly ass family/food,1,,,
@hanitabonitaa you forgot to flood the food in hot sauce that's what brings the flavor,1,,,
Err:509,1,,,
Err:509,1,,,
@lrnn uhh my messages to you aren’t sending - they got stuck when I tried to send a photo of yet more food.. Prepare for a flood of messages,0,,,
I am listening to news on Radio 4. Re floods. How is the nation able to respond. Can we donate? Send food parcels?,1,,,
"Flooding to get worse as storm heads for UK bringing heavy rain.PREP NOW. Water,heat, food, sheter.becsuse you dont flood you may lose power",1,,,
Thought this said food & willpower RT @Independent: Fresh flood fear after festive blackout as thousands left without power at Christmas,0,,,
"Unprecedented floods in our area. Sending wamth to all who are left without power, heat and hot food this Christmas! pic.twitter.com/7iTOKQdRZ3",0,,,
Err:509,0,,,
"Only 3 tweets in my feed from the last half hour, but I guess it's better than a flood of boring family/food photos.",0,,,
"A day never to be repeated. Started by being rescued from the floods in Guildford at 5.30am, ended with laughter & good food with family.",0,,,
Thoughts to the people who Spent Xmas day dealing with the floods whilst we ate food with families and opened presents!!,0,,,
Err:509,0,,,
Lovely Xmas mix of work - floods  - and too much food. Amongst the evacuees 92 yo Dunkirk veteran Harry Higgins. A real gent ! Now Downton.,0,,,
@MichelleMcD_ poor @Niamh_Flood couldn't hack it  same having a food coma watching home alone,1,,,
"Literally no different from the tons of food and pet pictures that flood my TL everyday. It's Christmas for fucks sake, cool your subtweets",1,,,
One of the Santa trucks passed by throwing chocolate packets at the crowd. Similar to military throwing food packets at flood victims. #Goa,1,,,
"Feel very lucky that I have electricity and no floods and enough food today, a lot of people aren't in the same position.",0,,,
51 flood victims in hospitals after eating free food (Nation) http://www.nationmultimedia.com/national/51-in-hospitals-after-eating-free-food-30216259.html … #ThaiFloodEng,0,,,
51 flood victims in Prachin Buri hospitals after eating free food http://ow.ly/ptMnC ,0,,,
"@ArianaTaveras Like, eating healthy for the next few days to flood all the nasty toxins out of my body from the gross food I've been eating",0,,,
HAARP... Government MANDATED! Floods Being Created to Intentionally Destroy World’s Food Supply,1,,,
Trace3 Denver Office volunteers 2 help local flood victims by joining the food donation & clean up effort see photos http://trace3.com/blog/?p=1394 ,0,,,
"5 shutdown stories that didn't make headlines: Food pantries, missing people, local biz, Colorado flood relief. @AJAM http://alj.am/1g56XrE ",1,,,
The Old Town Pearl  @odellbrewing today! Food Truck rally benefiting Foothills Flood Relief at Wash… http://instagram.com/p/fBNCyfvuWZ/ ,1,,,
"£15 provides a flood-affected family #cambodia with a tent, mosquito net & enough food to see them through the worst https://www.facebook.com/photo.php?fbid=672016476151637&set=a.294349250585030.85584.134876459865644&type=1&theater …",0,,,
Err:509,1,,,
"@xmep that's true, but i still feel bad ack 8( i'll just flood you with food then if we can meet again :c :c",1,,,
how explain about no food or clothes . most country need help . I hear Mexico flood water pls bring food pic.twitter.com/GC52BtAP3L,1,,,
